,file,bytes,name,instrument,percussion,note,octave,pitch,length,dynamic,style
6293,oboe/oboe_G5_025_piano_normal.mp3,7105,oboe_G5_025_piano_normal,oboe,False,G,5.0,783.99,025,piano,normal
6294,oboe/oboe_F4_05_mezzo-forte_normal.mp3,14629,oboe_F4_05_mezzo-forte_normal,oboe,False,F,4.0,349.23,05,mezzo-forte,normal
6295,oboe/oboe_F4_05_piano_normal.mp3,12747,oboe_F4_05_piano_normal,oboe,False,F,4.0,349.23,05,piano,normal
6296,oboe/oboe_F5_1_forte_normal.mp3,14629,oboe_F5_1_forte_normal,oboe,False,F,5.0,698.46,1,forte,normal
6297,oboe/oboe_G4_1_fortissimo_normal.mp3,7732,oboe_G4_1_fortissimo_normal,oboe,False,G,4.0,392.0,1,fortissimo,normal
6298,oboe/oboe_Gs6_025_forte_normal.mp3,8046,oboe_Gs6_025_forte_normal,oboe,False,G#,6.0,1661.22,025,forte,normal
6299,oboe/oboe_Fs6_15_piano_normal.mp3,20271,oboe_Fs6_15_piano_normal,oboe,False,F#,6.0,1479.98,15,piano,normal
6300,oboe/oboe_C4_025_piano_normal.mp3,7104,oboe_C4_025_piano_normal,oboe,False,C,4.0,261.63,025,piano,normal
6301,oboe/oboe_B4_15_fortissimo_normal.mp3,25287,oboe_B4_15_fortissimo_normal,oboe,False,B,4.0,493.88,15,fortissimo,normal
6302,oboe/oboe_E4_025_fortissimo_normal.mp3,8359,oboe_E4_025_fortissimo_normal,oboe,False,E,4.0,329.63,025,fortissimo,normal
6303,oboe/oboe_D6_025_forte_normal.mp3,7419,oboe_D6_025_forte_normal,oboe,False,D,6.0,1174.66,025,forte,normal
6304,oboe/oboe_Gs5_05_fortissimo_normal.mp3,13688,oboe_Gs5_05_fortissimo_normal,oboe,False,G#,5.0,830.61,05,fortissimo,normal
6305,oboe/oboe_B3_025_fortissimo_normal.mp3,7732,oboe_B3_025_fortissimo_normal,oboe,False,B,3.0,246.94,025,fortissimo,normal
6306,oboe/oboe_A4_1_mezzo-forte_normal.mp3,17137,oboe_A4_1_mezzo-forte_normal,oboe,False,A,4.0,440.0,1,mezzo-forte,normal
